person_id,name
1126,Steve Buscemi
1127,David Schechter
1128,Theo van Gogh
1129,Theodor Holman
1130,Sienna Miller
1131,Michael Buscemi
1132,Ray Lawrence
1133,Beatrix Christian
1134,Raymond Carver
1135,Gabriel Byrne
1136,John Howard
1137,Shane Meadows
1138,Thomas Turgoose
1139,Stephen Graham
1140,Jo Hartley
1141,Jordan Walker-Pearlman
1142,Gabrielle Union
1143,Billy Dee Williams
1144,Zoe Saldana
1145,Mike Akel
1146,Chris Mass
1147,Troy Schremmer
1148,Janelle Schremmer
1149,Shannon Haragan
1150,Christopher Dillon Quinn
1151,Tommy Walker
1152,Panther Bior
1153,John Bul Dau
1154,Nicole Kidman
1155,Andrew Currie
1156,Robert Chomiak
1157,Dennis Heaton
1158,Kesun Loder
1159,Billy Connolly
1160,Rolf de Heer
1161,Peter Djigirr
1162,Crusoe Kurddal
1163,Jamie Gulpilil
1164,Richard Birrinbirrin
1165,Richard Kelly
1166,Sarah Michelle Gellar
1167,Seann William Scott
1168,Mark Obenhaus
1169,Ingrid Backstrom
1170,Anselme Baud
1171,Bill Briggs
1172,Shirley MacLaine
1173,Bill Hader
1174,Francis Ford Coppola
1175,Mircea Eliade
1176,Tim Roth
1177,Alexandra Maria Lara
1178,Bruno Ganz
1179,Élie Chouraqui
1180,Didier Le Pêcheur
1181,JJ Feild
1182,Saïd Taghmaoui
1183,Maria Papas
1184,Taika Waititi
1185,Loren Taylor
1186,Jemaine Clement
1187,Craig Hall
1188,Q. Allan Brocka
1189,Matthew Rettenmund
1190,Philip Pierce
1191,Derek Magyar
1192,George Jonson
1193,Patrick Bauchau
1194,Mark Fergus
1195,Hawk Ostby
1196,Piper Perabo
1197,William Fichtner
1198,Marco Kreuzpaintner
1199,Jose Rivera
1200,Peter Landesman
1201,Kathleen Gati
1202,Paulina Gaitan
1203,Neten Chokling
1204,Tenzing Choyang Gyari
1205,Orgyen Tobgyal
1206,Kelsang Chukie Tethtong
1207,Jamyang Lodro
1208,Rob VanAlkemade
1209,Sangeeta Sharma
1210,Adetola Abiade
1211,Paul Allen
1212,Paul Norman Allen
1213,Todd Robinson
1214,Salma Hayek
1215,Jared Leto
1216,Fredi M. Murer
1217,Peter Luisi
1218,Lukas B. Suter
1219,Fabrizio Borsani
1220,Teo Gheorghiu
1221,Jafar Panahi
1222,Shadmehr Rastin
1223,Sima Mobarak-Shahi
1224,Shayesteh Irani
1225,Ayda Sadeqi
1226,Adam Green
1227,Kane Hodder
1228,Joel David Moore
1229,Deon Richmond
1230,Henry Jaglom
1231,Tanna Frederick
1232,Justin Kirk
1233,David Proval
1234,Andrea Arnold
1235,Lone Scherfig
1236,Kate Dickie
1237,Tony Curran
1238,Martin Compston
1239,Dori Berinstein
1240,Richard Hankin
1241,Alissa Anderegg
1242,Kristen Anderson-Lopez
1243,Rob Ashford
1244,Christopher Smith
1245,James Moran
1246,Danny Dyer
1247,Laura Harris
1248,Tim McInnerny
1249,Hal Hartley
1250,Jeff Goldblum
1251,Liam Aiken
1252,Ted Braun
1253,Don Cheadle
1254,Ahmed Mahammed Abaka
1255,Sheikh Ahmed Mohamad Abakar
1256,Judy Hecht Dumontet
1257,Mitchell Leib
1258,Julius Robinson
1259,José Zúñiga
1260,George Lopez
1261,Miguel Sandoval
1262,Terry George
1263,John Burnham Schwartz
1264,Joaquin Phoenix
1265,Mark Ruffalo
1266,Aaron Woolf
1267,Ian Cheney
1268,Curtis Ellis
1269,Bob Bledsoe
1270,Earl L. Butz
1271,Dawn Cheney
1272,Jeff Renfroe
1273,Andrew Joiner
1274,Peter Krause
1275,Kal Naga
1276,Richard Schiff
1277,Justin Theroux
1278,David Bromberg
1279,Billy Crudup
1280,Mandy Moore
1281,Tom Wilkinson
1282,Corneliu Porumboiu
